IN EVENT?,LOCATION,Q1,Why 1,Q2,Why 2,USE SPIN?,THINK SPIN,LIVE CAMPUS?,Where,AGE,SEX,YEAR
NO,LASSONDE,YES,n/a,YES,n/a,No,n/a,Yes,UP CAMPUS,23,F,4TH
NO,LASSONDE,MAYBE,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,LASSONDE,20,F,1ST
NO,UP CAMPUS,YES,n/a,YES,n/a,No,n/a,Yes,UP CAMPUS,19,F,1ST
NO,UP CAMPUS,YES,n/a,YES,n/a,No,$$$ expnsiv,Yes,UP CAMPUS,19,M,1ST
NO,UP CAMPUS,MAYBE,n/a,NO,enjoy walk,No,n/a,Yes,UP CAMPUS,19,M,1ST
NO,UP CAMPUS,YES,n/a,YES,n/a,No,$$$ expnsiv,Yes,UP CAMPUS,19,F,1ST
NO,KALHERT,MAYBE,n/a,NO,n/a,Yes,$$$ expnsiv,Yes,KALHERT,19,M,1ST
NO,KALHERT,YES,n/a,YES,n/a,Yes,n/a,No,n/a,19,F,1ST
NO,UP CAMPUS,MAYBE,n/a,NO,n/a,No,n/a,Yes,UP CAMPUS,21,M,4TH
NO,UP CAMPUS,MAYBE,n/a,YES,n/a,No,n/a,Yes,UP CAMPUS,19,F,1ST
NO,UP CAMPUS,NO,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,UP CAMPUS,19,M,1ST
NO,UP CAMPUS,MAYBE,n/a,YES,n/a,No,n/a,Yes,UP CAMPUS,21,F,3RD
NO,UP CAMPUS,YES,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,UP CAMPUS,18,F,1ST
NO,UP CAMPUS,MAYBE,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,UP CAMPUS,18,F,1ST
NO,UP CAMPUS,MAYBE,n/a,YES,n/a,Yes,n/a,Yes,UP CAMPUS,22,F,3RD
NO,UP CAMPUS,YES,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,UP CAMPUS,19,F,1ST
NO,UP CAMPUS,MAYBE,n/a,YES,n/a,No,n/a,Yes,LASSONDE,19,F,1ST
NO,KALHERT,MAYBE,n/a,NO,enjoy walk,No,n/a,No,n/a,19,M,1ST
NO,KALHERT,YES,n/a,YES,n/a,No,n/a,Yes,KALHERT,19,F,1ST
NO,LASSONDE,YES,Parking ,NO,n/a,Yes,Injury risk ,No,n/a,22,F,4TH
NO,KALHERT,MAYBE,n/a,NO,n/a,Yes,n/a,Yes,LASSONDE,18,M,1ST
NO,KALHERT,MAYBE,n/a,YES,n/a,Yes,$$$ expnsiv,Yes,UP CAMPUS,19,M,1ST
